Maktab,Savol,O'rtacha baho
Muhammad al-Xorazmiy nomidagi ixtisoslashtirilgan maktabi,Muassasadagi ta’lim jarayonini tashkil etishda rahbariyat tomonidan amalga oshirilayotgan ishlarni qanday baholaysiz?,4.0000000000000000
Muhammad al-Xorazmiy nomidagi ixtisoslashtirilgan maktabi,Muassasadagi o‘qituvchilar tomonidan farzandingizga berilayotgan ta’lim sifatiga baho bering.,1.00000000000000000000
Muhammad al-Xorazmiy nomidagi ixtisoslashtirilgan maktabi,Muassasada farzandingizni ta’lim-tarbiya olishi uchun yaratilgan shart-sharoitlarga baho bering,5.0000000000000000
Muhammad al-Xorazmiy nomidagi ixtisoslashtirilgan maktabi,Muassasada tashkil etilgan fan va sport to‘garak mashg‘ulotlari samaradorligi (natijadorligi)ni baholang,1.00000000000000000000
Muhammad al-Xorazmiy nomidagi ixtisoslashtirilgan maktabi,Farzandingizga muassasada berilayotgan ta’lim sifatiga umumiy va yakuniy baho bering,4.0000000000000000
Sergeli tuman ixtisoslashtirilgan maktabi ,Muassasadagi ta’lim jarayonini tashkil etishda rahbariyat tomonidan amalga oshirilayotgan ishlarni qanday baholaysiz?,3.0000000000000000
Sergeli tuman ixtisoslashtirilgan maktabi ,Muassasadagi o‘qituvchilar tomonidan farzandingizga berilayotgan ta’lim sifatiga baho bering.,3.0000000000000000
Sergeli tuman ixtisoslashtirilgan maktabi ,Muassasada farzandingizni ta’lim-tarbiya olishi uchun yaratilgan shart-sharoitlarga baho bering,3.0000000000000000
Sergeli tuman ixtisoslashtirilgan maktabi ,Muassasada tashkil etilgan fan va sport to‘garak mashg‘ulotlari samaradorligi (natijadorligi)ni baholang,3.0000000000000000
Sergeli tuman ixtisoslashtirilgan maktabi ,Farzandingizga muassasada berilayotgan ta’lim sifatiga umumiy va yakuniy baho bering,3.0000000000000000
